# Kleene squaring vs Warshall closure benchmark
# Build: Release recommended. ratio = (cc + kleene) / warshall (lower is better for Kleene).
# k_trunc uses ceil(log2(n_max)); k_full uses ceil(log2(M)).
# verify_* columns: 1 when Kleene closure matches Warshall on that graph.

family,M,edges,density,n_max,k_trunc,k_full,verify_trunc,verify_full,cc_p50_us,warshall_p50_us,kleene_trunc_p50_us,kleene_full_p50_us,ratio_trunc,ratio_full,warshall_p10_us,warshall_p90_us,kleene_trunc_p10_us,kleene_trunc_p90_us
random_er_p0.02,4,0,0.0000,1,0,2,1,1,0.102,0.060,0.030,0.291,2.200,6.550,0.058,0.133,0.029,0.031
random_er_p0.05,4,1,0.0833,2,1,2,1,1,0.108,0.062,0.291,0.292,6.435,6.452,0.059,0.064,0.030,0.390
random_er_p0.10,4,2,0.1667,3,2,2,1,1,0.264,0.122,0.822,0.858,8.902,9.197,0.061,0.144,0.298,1.112
random_er_p0.15,4,4,0.3333,4,2,2,1,1,0.284,0.137,0.865,0.885,8.387,8.533,0.107,0.151,0.658,1.127
random_er_p0.25,4,5,0.4167,4,2,2,1,1,0.295,0.140,1.081,1.102,9.829,9.979,0.111,0.158,0.791,1.202
random_er_p0.40,4,7,0.5833,4,2,2,1,1,0.162,0.160,0.450,1.196,3.825,8.487,0.075,0.170,0.429,1.220
random_er_p0.60,4,8,0.6667,4,2,2,1,1,0.170,0.079,0.456,0.455,7.924,7.911,0.077,0.082,0.348,1.226
random_er_p0.02,8,2,0.0357,2,1,3,1,1,0.135,0.378,0.516,1.419,1.722,4.111,0.186,0.415,0.058,1.385
random_er_p0.05,8,1,0.0179,2,1,3,1,1,0.149,0.193,0.735,0.978,4.580,5.839,0.185,0.209,0.515,0.983
random_er_p0.10,8,9,0.1607,7,3,3,1,1,0.205,0.206,0.994,0.989,5.820,5.796,0.204,0.456,0.960,2.254
random_er_p0.15,8,9,0.1607,7,3,3,1,1,0.194,0.209,0.970,0.974,5.569,5.589,0.199,0.220,0.956,1.011
random_er_p0.25,8,17,0.3036,8,3,3,1,1,0.264,0.229,1.127,1.171,6.074,6.266,0.204,0.510,0.965,2.059
random_er_p0.40,8,22,0.3929,8,3,3,1,1,0.318,0.250,1.154,1.153,5.888,5.884,0.246,0.265,0.913,1.188
random_er_p0.60,8,34,0.6071,8,3,3,1,1,0.369,0.266,1.215,1.207,5.955,5.925,0.258,0.302,1.162,1.262
random_er_p0.02,12,0,0.0000,1,0,4,1,1,0.222,0.596,0.751,0.751,1.633,1.633,0.377,0.856,0.031,1.705
random_er_p0.05,12,3,0.0227,4,2,4,1,1,0.171,0.386,1.040,1.041,3.137,3.140,0.377,0.403,1.014,1.067
random_er_p0.10,12,8,0.0606,5,3,4,1,1,0.233,0.424,1.396,1.394,3.842,3.837,0.394,0.446,1.022,1.957
random_er_p0.15,12,19,0.1439,12,4,4,1,1,0.300,0.438,3.584,2.247,8.868,5.815,0.433,0.968,1.527,4.540
