campaign_schema_version,campaign_id,run_timestamp_utc,map_id,generator_type,method,status,policy_skip_detail,num_vertices,num_edges,pair_seed,pair_list_hash,query_count,warmup_queries,correctness_check_count,preprocess_ns,estimated_index_bytes,peak_preprocess_rss_bytes,query_count_timed,query_mean_ns,query_median_ns,query_p95_ns,query_min_ns,query_max_ns,queries_per_second,total_benchmark_ns,speedup_vs_bfs,total_speedup_vs_bfs,correctness_checks,correctness_mismatches,correctness_failed,warshall_matrix_order,kleene_parallel,kleene_thread_count,config_id,brick_tile_width,brick_tile_height,max_memory_bytes,hbrick_group_width,hbrick_group_height,hbrick_max_depth,closure_early_stop,map_class,passable_cells,num_sccs,kleene_rounds_scheduled,kleene_rounds_effective,timer_source
2,movingai,2026-06-30T21:30:08Z,movingai_bgmaps_AR0408SR.map,movingai,CsrBfs,Completed,,2500,308,13238609,14073804970009287481,64,8,16,0,0,5640192,64,104.859,90,203,88,377,9.53658e+06,8738,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,354,2413,0,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_bgmaps_AR0408SR.map,movingai,BrickSearch,Completed,,2500,308,13238609,14073804970009287481,64,8,16,746587,104380,5640192,64,33.8906,36,41,27,46,2.95067e+07,749678,3.09405,0.0116557,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,354,2413,0,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_bgmaps_AR0408SR.map,movingai,BrickClosure,Completed,,2500,308,13238609,14073804970009287481,64,8,16,1056174,126500,5640192,64,33.1719,34,39,25,96,3.0146e+07,1059249,3.16109,0.00824924,16,0,false,276,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,354,2413,5,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_bgmaps_AR0408SR.map,movingai,HBrick,Completed,,2500,308,13238609,14073804970009287481,64,8,16,6355520,102384,5640192,64,60.0625,36,111,34,132,1.66493e+07,6361649,1.74584,0.00137354,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,354,2413,0,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_da2_ht_store.map,movingai,CsrBfs,Completed,,1369,407,13238609,16130464299964400251,64,8,16,0,0,5808128,64,103.594,73,278,39,390,9.65309e+06,8992,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,490,1257,0,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_da2_ht_store.map,movingai,BrickSearch,Completed,,1369,407,13238609,16130464299964400251,64,8,16,1130759,75300,5808128,64,96.2031,71,265,69,395,1.03947e+07,1138842,1.07682,0.00789574,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,490,1257,0,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_da2_ht_store.map,movingai,BrickClosure,Completed,,1369,407,13238609,16130464299964400251,64,8,16,1843511,110868,5808128,64,141.016,62,762,47,1036,7.09141e+06,1855518,0.734626,0.00484609,16,0,false,370,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,490,1257,4,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_da2_ht_store.map,movingai,HBrick,Completed,,1369,407,13238609,16130464299964400251,64,8,16,9850760,143332,5808128,64,835,37,9383,34,11163,1.1976e+06,9917999,0.124064,0.000906634,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,490,1257,0,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_dao_ost102d.map,movingai,CsrBfs,Completed,,616,192,13238609,7080965834980897748,64,8,16,0,0,4395008,64,82.6719,65,145,45,304,1.2096e+07,8551,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,249,570,0,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_dao_ost102d.map,movingai,BrickSearch,Completed,,616,192,13238609,7080965834980897748,64,8,16,560433,37400,4521984,64,74.2656,32,261,28,447,1.34652e+07,567920,0,0,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,249,570,0,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_dao_ost102d.map,movingai,BrickClosure,Completed,,616,192,13238609,7080965834980897748,64,8,16,973522,46256,4599808,64,144.938,74,413,72,699,6.89953e+06,987127,0,0,16,0,false,184,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,249,570,4,0,steady_clock
2,movingai,2026-06-30T21:30:08Z,movingai_dao_ost102d.map,movingai,HBrick,Completed,,616,192,13238609,7080965834980897748,64,8,16,2800580,45520,4825088,64,538.594,38,3421,34,5631,1.85669e+06,2869897,0,0,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,movingai,249,570,0,0,steady_clock
