campaign_schema_version,campaign_id,run_timestamp_utc,map_id,generator_type,method,status,policy_skip_detail,num_vertices,num_edges,pair_seed,pair_list_hash,query_count,warmup_queries,correctness_check_count,preprocess_ns,estimated_index_bytes,peak_preprocess_rss_bytes,query_count_timed,query_mean_ns,query_median_ns,query_p95_ns,query_min_ns,query_max_ns,queries_per_second,total_benchmark_ns,speedup_vs_bfs,total_speedup_vs_bfs,correctness_checks,correctness_mismatches,correctness_failed,warshall_matrix_order,kleene_parallel,kleene_thread_count,config_id,brick_tile_width,brick_tile_height,max_memory_bytes,hbrick_group_width,hbrick_group_height,hbrick_max_depth,closure_early_stop,map_class,passable_cells,num_sccs,kleene_rounds_scheduled,kleene_rounds_effective,timer_source
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i0,procedural_maze,CsrBfs,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,0,0,10743808,64,105.703,89,169,66,294,9.46046e+06,8744,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i0,procedural_maze,BrickSearch,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,5458633,258544,10743808,64,131.344,102,462,36,552,7.61361e+06,5470202,0.804782,0.00159848,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i0,procedural_maze,BrickClosure,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,10859073,783128,10743808,64,222.5,118,798,35,1054,4.49438e+06,10878268,0.47507,0.000803804,16,0,false,1425,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,3,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i0,procedural_maze,HBrick,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,94587742,948640,10743808,64,3889,156,24130,50,31153,257136,94889867,0.02718,9.21489e-05,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i1,procedural_maze,CsrBfs,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,0,0,10883072,64,106.938,87,183,59,504,9.35126e+06,9530,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i1,procedural_maze,BrickSearch,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,4085913,258544,10883072,64,346.172,247,943,96,1924,2.88874e+06,4112000,0.308914,0.00231761,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i1,procedural_maze,BrickClosure,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,11092235,783128,10883072,64,623.484,285,3108,39,4942,1.60389e+06,11138168,0.171516,0.000855616,16,0,false,1425,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,3,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i1,procedural_maze,HBrick,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,95430795,948640,10883072,64,3415.34,145,22979,46,24696,292796,95708646,0.0313109,9.9573e-05,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i2,procedural_maze,CsrBfs,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,0,0,10883072,64,121.078,93,225,59,700,8.25913e+06,11675,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i2,procedural_maze,BrickSearch,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,3812326,258544,10883072,64,159.984,112,512,35,687,6.25061e+06,3826193,0.756812,0.00305134,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i2,procedural_maze,BrickClosure,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,12616899,783128,10883072,64,241.047,118,913,34,1246,4.14857e+06,12637217,0.502301,0.000923858,16,0,false,1425,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,3,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i2,procedural_maze,HBrick,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,96778174,948640,10883072,64,2816.19,130,15755,48,18707,355090,97014345,0.0429936,0.000120343,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
2,run02,2026-06-30T21:28:46Z,proc_w31h31_c42_o0_open43_random_asymmetric_i3,procedural_maze,CsrBfs,Completed,,3969,1030,13238609,3277085547798152880,64,8,16,0,0,10887168,64,114.844,93,227,53,374,8.70748e+06,9714,1,1,16,0,false,0,false,1,t4x4_k0_mem512m_hg2x2_dfull,4,4,536870912,2,2,4294967295,false,perfect_maze,1921,3687,0,0,steady_clock
